sci_name_norm,sci_name,common_name_en,toxic_to_dogs,toxic_to_cats,toxic_to_horses,clinical_signs,toxic_principles,additional_common_names,detail_url
lagerstroemia indica,Lagerstroemia indica,Crape Myrtle,false,false,false,,,Crepe Myrtle,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/crape-myrtle
lampranthus piquet,Lampranthus piquet,Ice Plant,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/ice-plant
lantana camara,Lantana camara,Lantana,true,true,true,"Vomiting, diarrhea, labored breathing, weakness. Liver failure - more common in livestock.",Pentacyclic triterpenoids,"Shrub Verbena, Yellow Sage, Red Sage",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lantana
larrea tridentata,Larrea tridentata,Chaparral,false,false,false,,,"Creosote Bush, Greasewood",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/chaparral
lathyrus latifolius,Lathyrus latifolius,Sweet Pea,false,false,true,"Weakness, lethargy, pacing, head pressing, tremors, seizures and possibly death.",Aminoproprionitrite,"Perennial Pea, Everlasting Pea",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/sweet-pea
laurus nobilis,Laurus nobilis,Bay Laurel,true,true,true,"Vomiting and diarrhea, Large ingestion of whole leaves can cause obstruction","Eugenol, and other essential oils","Sweet Bag, Bay Tree, Tree Laurel, Laurel Tree, Laurel",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bay-laurel
lavendula angustifolia,Lavendula angustifolia,Lavender,true,true,true,"Nausea, vomiting (not in horses), inappetant","Linlool, linalyl acetate","Common Lavender, English Lavender",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lavender
leucocrinum montanum,Leucocrinum montanum,Sand Lily,false,false,false,,,"mountain lily, star lily",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/sand-lily
leucospermum incisum,Leucospermum incisum,Pincushion Flower,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/pincushion-flower
leucothoe,Leucothoe spp.,Black Laurel,true,true,true,"Vomiting, diarrhea, depression, cardiovascular collapse, hypersalivation, weakness, coma, low blood pressure, death. Ingestion of a few leaves can cause serious problems.",Grayanotoxins,"Dog Hobble, Dog Laurel, Fetter Bush, Sierra Laurel",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/black-laurel
levisticum officinale,Levisticum officinale,Lovage,true,true,true,"Diuretic, increased urination","Volatile oils, especially phthalide lactones.","Maggi plant, Smellage",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lovage
ligustrum japonicum,Ligustrum japonicum,Privet,true,true,true,"Gastrointestinal upset (most common), incoordination, increased heart rate, death (rare).",Terpenoid glycosides,"amur, wax-leaf, common privet",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/privet
ligustrum vulgare,Ligustrum vulgare,Common Privet,true,true,true,"Drooling, abdominal pain, diarrhea, colic, depression","Cardiac glycosides, saponins, protoanemonin","Privet, Amur, Wax-leaf",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/common-privet
lilium asiatica,Lilium asiatica,Asian Lily,,true,,"Cats: Vomiting, inappetence, lethargy, kidney failure, death.",Unknown,Asiatic Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/asian-lily
lilium longiflorum,Lilium longiflorum,Easter Lily,false,true,false,"Vomiting, inappetence, lethargy, kidney failure, and death is possible. Cats are only species known to be affected.",Unknown,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/easter-lily
lilium orientalis,Lilium orientalis,Stargazer Lily,false,true,false,"Vomiting, inappetence, lethargy, kidney failure and death is possible. Cats are only species known to be affected.",Unknown,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/stargazer-lily
lilium species,Lilium species,Lily,false,true,false,Cats: kidney failure.,Unknown,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lily
lilium speciosum,Lilium speciosum,Japanese Show Lily,false,true,false,"Cats: Vomiting, inappetence, lethargy, kidney failure, death.",Unknown,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/japanese-show-lily
lilium tigrinum,Lilium tigrinum,Tiger Lily,false,true,false,"Vomiting, inappetence, lethargy, kidney failure, and death is possible. Cats are only species known to be affected.",Unknown,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/tiger-lily
lilium umbellatum,Lilium umbellatum,Red Lily,false,true,false,"Vomiting, inappetence, lethargy, kidney failure, and death is possible. Cats are only species known to be affected.",Unknown,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/red-lily
liriodendron tulipifera,Liriodendron tulipifera,Tulip Poplar,false,false,false,,,tulip tree,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/tulip-poplar
liriope muscari,Liriope muscari,Turf Lily,false,false,false,,,lilyturf,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/turf-lily
lithops naureeniae,Lithops naureeniae,Living Stones,false,false,false,,Non-toxic,"Kiawe, Mesquite",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/living-stones
lobelia cardinalis,Lobelia cardinalis,Cardinal Flower,true,true,true,"Depression, diarrhea, vomiting, excessive salivation, abdominal pain, heart rhythm disturbances.",Lobeline,"Lobelia, Indian Pink",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cardinal-flower
lycopersicon,Lycopersicon spp,Tomato Plant,true,true,true,"Hypersalivation, inappetence, severe gastrointestinal upset, depression, weakness, dilated pupils, slow heart rate; ripe fruit is non-toxic",Solanine,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/tomato-plant
lyonia,Lyonia spp.,Fetterbush,true,true,true,"Vomiting (not in horses), diarrhea, weakness, cardiac failure",Grayanotoxins,"Staggerberry, Maleberry",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fetterbush
macadamia integrifolia,Macadamia integrifolia,Australian Nut,true,,,"Depression, hyperthermia, weakness, muscular stiffness, vomiting, tremors, increased heartrate. Only reported in dogs at this time.",Unknown,"Macadamia Nut, Queensland Nut",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/australian-nut
magnolia stellata,Magnolia stellata,Magnolia Bush,false,false,false,,Non-toxic,Star Magnolia,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/magnolia-bush
mahonia aquifolium,Mahonia aquifolium,Creeping Mahonia,false,false,false,,,"Tall Mahonia, Mountain Grape, Oregon Grape, Oregon Holly, Holly-leaved Barberry",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/creeping-mahonia
malus sylvestrus,Malus sylvestrus,Apple,true,true,true,"Stems, leaves, seeds contain cyanide, particularly toxic in the process of wilting: brick red mucous membranes, dilated pupils, difficulty breathing, panting, shock.",Cyanogenic glycosides,Includes crabapples,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/apple
mammillaria fragilis,Mammillaria fragilis,Thimble Cactus,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/thimble-cactus
maranta insignis,Maranta insignis,Calathea Lancifolia 2,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/calathea-lancifolia-2
masdevallia,Masdevallia spp.,Tailed Orchid,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/tailed-orchid
melia azedarach,Melia azedarach,Bead Tree,true,true,true,"Diarrhea, vomiting, salivation, depression, weakness, and seizures. Ripe fruit (berries) most toxic but also bark, leaves, and flowers.",Tetranortriterpenes (meliatoxins),"China Ball Tree, Paradise Tree, Persian Lilac, White Cedar, Japanese Bead Tree, Texas Umbrella Tree, Pride-of-India, Chinaberry Tree",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bead-tree
melissa officinalis,Melissa officinalis,Lemon Balm,false,false,false,,,"Balm, Common Balm, Balm mint",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lemon-balm
mentha,Mentha sp.,Mint,true,true,true,Vomiting and diarrhea with large ingestions,Essential Oils,Garden Mint,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mint
miltonia roezlii alba,Miltonia roezlii alba,Pansy Orchid,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/pansy-orchid
monstera deliciosa,Monstera deliciosa,Ceriman,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,"Cutleaf Philodendron, Hurricane Plant, Swiss Cheese Plant, Mexican Breadfruit",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/ceriman
morus,Morus sp.,Mulberry Tree,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mulberry-tree
musa acuminata,Musa acuminata,Banana,false,false,false,,,Plantain,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/banana
muscari armeniacum,Muscari armeniacum,Grape Hyacinth,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/grape-hyacinth
nandina domestica,Nandina domestica,Heavenly Bamboo,true,true,true,"Weakness, incoordination, seizures, coma, respiratory failure, death (rare in pets).",Cyanogenic glycosides,"Sacred Bamboo, Nandina",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/heavenly-bamboo
narcissus,Narcissus spp,Daffodil,true,true,true,"Vomiting, salvation, diarrhea; large ingestions cause convulsions, low blood pressure, tremors and cardiac arrhythmias. Bulbs are the most poisonous part.",Lycorine and other alkaloids,"Narcissus, Jonquil, Paper White",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/daffodil
narcissus jonquilla,Narcissus jonquilla,Jonquil,true,true,true,"Vomiting, salvation, diarrhea; large ingestions cause convulsions, low blood pressure, tremors and cardiac arrhythmias. Bulbs are the most poisonous part.",Lycorine and other alkaloids,"Daffodil, Narcissus, Paper White",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/jonquil
nasturtium officinale,Nasturtium officinale,Nasturtium (Watercress),true,true,true,Mild vomiting and diarrhea,Gastrointestinal irritants,"Watercress, Brunnenkress",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/nasturtium-watercress
neoregalia,Neoregalia spp.,Aregelia,false,false,false,,,"Crimson cup, Marbled fingernail,Blushing bromeliad, Ossifragi Vase, Miniature Marble plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/aregelia
neoregelia spectabilis,Neoregelia spectabilis,Fingernail Plant,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fingernail-plant
nepeta cataria,Nepeta cataria,Catnip,,true,,"Many cats love catnip, but it can cause vomiting and diarrhea. It makes some cats sedated and others stimulated.",Nepetalactone,"Catswort, Catmint",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/catnip
nephrolepis biserrata,Nephrolepis biserrata,Bold Sword Fern,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bold-sword-fern
nephrolepis exalta,Nephrolepis exalta,Dwarf Feather Palm,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dwarf-feather-palm
nephrolepis exalta bostoniensis,Nephrolepis exalta bostoniensis,Boston Fern,false,false,,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/boston-fern
nephrolepis exaltata,Nephrolepis exaltata,Feather Palm,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/feather-palm
nephrolepsis cordifolia 'duffii',Nephrolepsis cordifolia 'duffii',Duffii Fern,false,false,false,,Non-toxic,"Duffy Fern, Lemon Button Fern",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/duffii-fern
nephrolepsis cordifolia plumosa,Nephrolepsis cordifolia plumosa,Dwarf Whitman Fern,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dwarf-whitman-fern
nephrolepsis exalta,Nephrolepsis exalta,Fluffy Ruffles,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fluffy-ruffles
nerium oleander,Nerium oleander,Oleander,true,true,true,"Drooling, abdominal pain, diarrhea, colic, depression, death",Cardiac glycosides,Rose-Bay,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/oleander
nicotiana glauca,Nicotiana glauca,Nicotiana,true,true,true,"Hyperexcitability then depression, vomiting, incoordination, paralysis, death is possible.",Nicotine,"Tree Tobacco, Tobacco, Mustard Tree",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/nicotiana
nolina tuberculata,Nolina tuberculata,Bottle Palm 2,false,false,false,,,"Elephant-foot Tree, Pony Tail Plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bottle-palm-2
none,NONE LISTED,Silver Tree Anamiga,false,false,,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/silver-tree-anamiga
ocimum basilicum,Ocimum basilicum,Basil,false,false,,,,"Saint Joseph's Wort, Thai Basil, Sweet Basil",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/basil
odontoglossum crispum,Odontoglossum crispum,Lace Orchid,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lace-orchid
odontoglossum pulchellum,Odontoglossum pulchellum,Lily of the Valley Orchid,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lily-valley-orchid
oleaceae,Oleaceae,Golden Bells,false,false,false,,Non-toxic,Forsythia,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/golden-bells
oncidium flexuosum,Oncidium flexuosum,Dancing Doll Orchid,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dancing-doll-orchid
oncidium sphacelatum,Oncidium sphacelatum,Golden Shower Orchid,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/golden-shower-orchid
onychium japonica,Onychium japonica,Carrot Fern,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/carrot-fern
opuntia species,Opuntia species,Tree Cactus,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/tree-cactus
origanum majorana,Origanum majorana,Marjoram,true,true,,Vomiting and diarrhea,Gastrointestinal irritants,"Knotted Marjoram, Pot Marjoram",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/marjoram
origanum vulgare hirtum,Origanum vulgare hirtum,Oregano,true,true,true,Mild vomiting and diarrhea,Gastrointestinal irritants,Greek Oregano,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/oregano
oxalis,Oxalis spp.,Good Luck Plant,true,true,true,"All parts of the plant have toxic potential, although the possibility of serious effects is usually limited to ingestions of large quantities. Consuming Oxalis species can produce colic in horses, and kidney failure is possible if significant amounts are eaten.",Soluble calcium oxylates,"Shamrock Plant, Sorrel",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/good-luck-plant
oxytropis,Oxytropis spp.,Loco Weed (Oxytropis spp.),false,false,true,"Incoordination, depression, inability to eat and drink, fetal death and birth defects",Swainsonine,Locoweed,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/loco-weed-oxytropis-spp
pachira aquatica,Pachira aquatica,Money Tree,false,false,false,"Nausea, vomiting and loose stool",None,Money Plant,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/money-tree
paeonis officinalis,Paeonis officinalis,Peony,true,true,true,"Vomiting, diarrhea, depression",Paeonol,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/peony
pelargonium,Pelargonium sp.,Scented Geranium,true,true,,"Primarily GI upset. Could also see ataxia, muscle weakness, depression or hypothermia in larger exposures, cats are most sensitive.",Essential Oils,Geraniums,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/scented-geranium
pelargonium species,Pelargonium species,Geranium,true,true,true,"Vomiting, anorexia, depression, dermatitis","Geraniol, linalool",Many cultivars,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/geranium
pellaea rotundifolia,Pellaea rotundifolia,Cliff Brake,false,false,false,,,"Button Fern, Green Cliff Brack, Cliff Break",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cliff-brake
pellionia daveauana,Pellionia daveauana,"Begonia, Trailing",false,false,false,,,Trailing Watermelon Begonia,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/begonia-trailing
pellonia pulchra,Pellonia pulchra,Satin Pellionia,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/satin-pellionia
peperomia argyreia,Peperomia argyreia,Watermelon Begonia,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/watermelon-begonia
peperomia caperata,Peperomia caperata,Emerald Ripple Peperomia,false,false,false,,Non-toxic,"Green ripple peperomia, Little fantasy peperpmia",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/emerald-ripple-peperomia
peperomia clusiifolia,Peperomia clusiifolia,Red Edge Peperomia,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/red-edge-peperomia
peperomia crassifolia,Peperomia crassifolia,Leather Peperomia,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/leather-peperomia
peperomia griseoargentea,Peperomia griseoargentea,Ivy Peperomia,false,false,false,,Non-toxic,"Plantinum Peperomia, Silver leaf Peperomia, Ivy leaf Peperomia",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/ivy-peperomia
peperomia obtusifolia,Peperomia obtusifolia,American Rubber Plant,false,false,false,,,"Pepper Face, Baby Rubber Plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/american-rubber-plant
peperomia peltifolia,Peperomia peltifolia,Peperomia Peltfolia,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/peperomia-peltfolia
peperomia prostata,Peperomia prostata,Trailing Peperomia,false,false,,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/trailing-peperomia
peperomia rotundifolia,Peperomia rotundifolia,Peperomia Rotundifolia,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/peperomia-rotundifolia
peperomia sandersii,Peperomia sandersii,Peperomia Sandersii,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/peperomia-sandersii
peperomia serpens variegata,Peperomia serpens variegata,Vining Peperomia,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/vining-peperomia
persea americana,Persea americana,Avocado,,,true,"Respiratory distress, heart failure, edema",Persin,Alligator Pear,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/avocado
petroselinum crispum,Petroselinum crispum,Parsley,true,true,true,"Photosensitization (sunburn, dermatitis), large amounts are needed to cause this effect",Furanocoumarins,"Italian Parsley, Hamburg Parsley, Turnip-rooted Parsley",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/parsley
petunia species,Petunia species,Petunia,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/petunia
phalaenopsis,Phalaenopsis sp.,Phalaenopsis Orchid,false,false,false,,,"Moth Orchid, Moon Orchid",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/phalaenopsis-orchid
philodendron,Philodendron spp,Philodendron Pertusum,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/philodendron-pertusum
philodendron bipennifolium,Philodendron bipennifolium,Fiddle-Leaf,true,true,,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing.",Insoluble calcium oxalates,"Horsehead Philodendron, Cordatum, Heartleaf Philodendron, Panda Plant, Split Leaf Philodendron, Fruit Salad Plant, Red Emerald, Red Princess, Saddle Leaf",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fiddle-leaf
philodendron hederaceum,Philodendron hederaceum,Heartleaf Philodendron,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,"Cordatum, Sweetheart Plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/heartleaf-philodendron
philodendron oxycardium,Philodendron oxycardium,Cordatum,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,"Fiddle-Leaf, Horsehead Philodendron, Heartleaf Philodendron, Panda Plant, Split Leaf Philodendron, Fruit Salad Plant, Red Emerald, Red Princess, Saddle Leaf",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cordatum
philodendron selloum,Philodendron selloum,Lacy Tree Philodendron,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lacy-tree-philodendron
phlox subulata,Phlox subulata,Moss Phlox,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/moss-phlox
phoenix acaulis,Phoenix acaulis,Dwarf Date Palm,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dwarf-date-palm
phoenix canariensis,Phoenix canariensis,Canary Date Palm,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/canary-date-palm
phoenix robellinii,Phoenix robellinii,Miniature Date Palm,false,false,false,,Non-toxic,"Pygmy Date Palm, Robellini Palm",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/miniature-date-palm
phoradendron flavescens,Phoradendron flavescens,"Mistletoe ""American""",true,true,true,"Vomiting, diarrhea, low blood pressure (rare), difficulty breathing, low heart rate","Toxalbumin, pharatoxin viscumin (Lectins, Phoratoxins)",American Mistletoe,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mistletoe-american
phyllostachys aurea,Phyllostachys aurea,Bamboo,false,false,false,,,"Golden Bamboo, Fishpole Bamboo",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bamboo
pieris japonica,Pieris japonica,Andromeda Japonica,true,true,true,"Vomiting (not in horses), diarrhea, weakness, cardiac failure",Grayanotoxins,"Pieris, Lily-of-the-Valley Bush",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/andromeda-japonica
pilea cadieri,Pilea cadieri,Aluminum Plant,false,false,false,,,Watermelon Plant,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/aluminum-plant
pilea involucrata,Pilea involucrata,Friendship Plant,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/friendship-plant
pilea microphylla,Pilea microphylla,Artillery Plant,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/artillery-plant
pilea nummulariifolia,Pilea nummulariifolia,Creeping Charlie,false,false,false,,,Swedish Ivy (Plectranthus),https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/creeping-charlie
pilea pumila,Pilea pumila,Clearweed,false,false,false,,,"Coolwort, Richweed",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/clearweed
pinus ponderosa,Pinus ponderosa,Bull Pine,false,false,true,Cattle: premature birth of calves or miscarriage have been reported in cattle.,Isocupressic acid,"Ponderosa Pine, Western Yellow Pine, Yellow Pine, Blackjack Pine",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bull-pine
pittosporum tobira,Pittosporum tobira,Japanese Pittosporum,false,false,false,,Non-toxic,"Australian laurel, Mock orange",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/japanese-pittosporum
plantanus occidentalis,Plantanus occidentalis,Plantanus Occidentalis,false,false,false,,Non-toxic,oriental plane,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/plantanus-occidentalis
platycerium alcicorne,Platycerium alcicorne,Platycerium Alcicorne,false,false,false,,Non-toxic,Staghorn Fern,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/platycerium-alcicorne
platycerium bifurcatum,Platycerium bifurcatum,Common Staghorn Fern,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/common-staghorn-fern
plectranthus australis,Plectranthus australis,Swedish Ivy,false,false,false,,,Creeping Charlie,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/swedish-ivy
plectranthus coleoides,Plectranthus coleoides,Candle Plant,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/candle-plant
plectranthus oetendahlii,Plectranthus oetendahlii,Prostrate Coleus,false,false,false,Non-toxic,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/prostrate-coleus
pleiospilos bolusii,Pleiospilos bolusii,Living Rock Cactus,false,false,false,,Non-toxic,"African living rock, Mimicry plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/living-rock-cactus
ploystichum munitum,Ploystichum munitum,Giant Holly Fern,false,false,false,,Non-toxic,"Sword fern, Wester sword, imbricate sword fern",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/giant-holly-fern
podocarpus macrophylla,Podocarpus macrophylla,Buddhist Pine,true,true,true,"Vomiting (colic in horses), diarrhea",Unknown. Do not confuse with yews of the genus Taxus.,"Yew Pine, Japanese Yew, Southern Yew, Podocarpus",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/buddhist-pine
